Generation,Population,Max_Age_Gen,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Min_Vision,Max_Vision,Min_Speed,Max_Speed,Min_Metabolism,Max_Metabolism,Min_Memory,Max_Memory
1,5,1,10.016666666666744,0,0,1.0368951700199314,1.0799105901120327,0.9449911861977028,1.101177092769016,0.8326053359282541,1.3072778775936182,0.7624086135936957,1.351152121645372,0.8388324783853243,1.0222513535323834,0.88334159713814,1.408440995954489
2,11,2,9.119696969697035,6,0,0.9974014100665936,1.0888798402587454,0.9370104842195204,1.1286879686988351,0.8326053359282541,1.3072778775936182,0.7624086135936957,1.4,0.8388324783853243,1.0222513535323834,0.88334159713814,1.408440995954489
2,16,2,14.53541666666656,5,0,1.0146922899954005,1.095601589218702,0.9070462419079885,1.1881019135738968,0.8326053359282541,1.3072778775936182,0.7624086135936957,1.4,0.7,1.0222513535323834,0.88334159713814,1.408440995954489
3,20,3,19.678333333333196,4,0,0.9870274072471542,1.1153050087969691,0.9209869117039391,1.188409654352395,0.7054098847092147,1.3072778775936182,0.7624086135936957,1.4,0.7,1.0222513535323834,0.88334159713814,1.5
3,43,3,16.213178294573392,23,0,1.0162695279837828,1.120999896558667,0.8948058979729678,1.2163052394262415,0.7054098847092147,1.3072778775936182,0.7624086135936957,1.4,0.7,1.0222513535323834,0.7836323405998468,1.5
3,50,3,23.32033333333306,7,0,1.0235706770558641,1.1074787544295208,0.8889928419780943,1.2229545744089478,0.7054098847092147,1.3072778775936182,0.7624086135936957,1.4,0.7,1.0222513535323834,0.7836323405998468,1.5
4,87,4,21.06551724137894,37,0,1.0203092771323823,1.1021873939108422,0.8828832719525522,1.2046466835865672,0.7054098847092147,1.4,0.703956639886171,1.4,0.7,1.0222513535323834,0.7836323405998468,1.5
4,120,4,21.15847222222195,38,5,1.037698276264723,1.0975271747954634,0.8714402988087974,1.226377428954931,0.7054098847092147,1.4,0.703956639886171,1.4,0.7,1.0222513535323834,0.7836323405998468,1.5
5,172,5,22.323352713177954,54,2,1.0283171106481674,1.0825073830368592,0.864825599812068,1.2086753884437051,0.7054098847092147,1.4,0.703956639886171,1.4,0.7,1.0222513535323834,0.7836323405998468,1.5
5,291,5,19.936254295532343,125,6,1.0510965587233565,1.0931857093584632,0.8589714760750582,1.2130346316457403,0.7,1.4,0.7021013119778063,1.4,0.7,1.1588420930233259,0.7240889975332345,1.5
6,400,6,21.49866666666638,118,9,1.0433539501822175,1.0838374323907953,0.8533945358272998,1.208918037509095,0.7,1.4,0.7,1.4,0.7,1.3,0.7240889975332345,1.5
6,728,6,18.845993589743305,335,7,1.0546367479361956,1.090585540631857,0.8439780285930472,1.1978412791834405,0.7,1.4,0.7,1.4,0.7,1.3,0.7240889975332345,1.5
7,1086,7,19.203560466543667,384,26,1.0538412016326866,1.0853572642727276,0.8346636767266582,1.2147328965642517,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
7,1871,7,18.070318902547424,804,19,1.052633789822882,1.0844578064314652,0.8267478145091982,1.2013104001464983,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
8,3217,8,16.981514868925313,1406,60,1.0613182922917421,1.0954681325973785,0.8153382991010312,1.2133836698306817,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
8,5368,8,17.261779682066383,2199,48,1.0539231391476036,1.0854438471264132,0.8093082013902874,1.2026206378818638,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
9,10090,9,15.880039643210933,4825,103,1.0614718503502683,1.0944796184897254,0.8030712887567184,1.2067310336044956,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
9,17221,9,16.2299963223195,7302,171,1.0565189339921062,1.091320519017928,0.7939160865332107,1.2062049754580324,0.7,1.4,0.7,1.4,0.7,1.3,0.7,1.5
