Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0196839754578155,1.101755400939521,0.9877287097733735,1.1204539818243697,0.4376226422152607,N/A,1
2,22,10.939393939393911,2,0,1.001788212763627,1.0930833594924012,0.9684252480295359,1.1274569772895746,0.44365200874334987,N/A,2
3,37,16.982882882883068,15,0,0.9811721514543369,1.0960059452639712,0.9518001052102023,1.1396643651079472,0.4506327808702822,N/A,3
4,37,20.554954954955186,10,10,0.9649516547274999,1.1127276894064273,0.9338499120251047,1.1439920626422484,0.4599841816536029,N/A,4
5,34,25.499019607843376,7,10,0.9631376854678869,1.0831401048932165,0.929285212020183,1.1781457520505003,0.4626385241336181,N/A,5
6,28,22.35476190476214,9,15,0.9957019701761247,1.0340085066799705,0.8943667779525313,1.2164253770445714,0.483938049269082,N/A,6
7,24,22.475000000000193,7,11,1.0331581501709564,0.9807182778902925,0.8452205823371469,1.2086149503350068,0.5083472008353354,N/A,7
8,23,23.617391304348065,5,6,1.0482975880376415,0.9614855187103801,0.8320146109835009,1.2404684895388822,0.5208645062045844,N/A,8
9,22,24.53030303030324,5,6,1.0730260842575223,0.9674779630580919,0.7893418866237656,1.2483599798789546,0.5555453360033809,N/A,9
10,22,24.01818181818196,6,6,1.0594606623986602,0.9581618102399884,0.7614215501852036,1.2401583711736173,0.5704734507045603,N/A,10
11,28,21.142857142857274,10,4,1.0640558548895787,0.9732384675927392,0.7414209939932842,1.2513181195673173,0.5914071256308708,N/A,11
12,34,18.12058823529425,13,7,1.0513966900204905,0.9766079007884054,0.7312579024616638,1.254728892510421,0.5985546225243772,N/A,12
13,54,18.021604938271736,24,4,1.0510773026703462,0.9583063253270667,0.7225417475702605,1.23667430678376,0.5990072215106202,N/A,13
14,83,14.912048192771202,43,14,1.0466092273141192,0.961256103399238,0.7201365415010228,1.2449155857767968,0.6022526246129549,N/A,14
15,140,15.356190476190607,66,9,1.0527537478572064,0.9643848756799834,0.7229758483712304,1.2407294282838104,0.6008256124849443,N/A,15
16,245,15.303265306122563,123,18,1.0470688997714621,0.9729885776933243,0.7264573157599988,1.249387681422752,0.6000710733141311,N/A,16
17,418,14.541786283891668,208,35,1.0428843047797893,0.9778302460534831,0.7297514536031804,1.247188386589871,0.5970805395522409,N/A,17
18,735,14.384172335601026,371,54,1.0363164701467005,0.983151054326521,0.7304586292723059,1.247166777979052,0.5962709219560767,N/A,18
19,1301,13.844478606200468,680,114,1.0327937310452862,0.9829876118719484,0.7329114659478351,1.2491345713627497,0.5939627664864258,N/A,19
20,2329,12.980692715042323,1266,238,1.034854259033878,0.9860631367617174,0.7352006728093374,1.249154894444481,0.5930484761835209,N/A,20
21,3986,11.350769359424717,2320,663,1.034785818041361,0.9893287375805335,0.7342376046385503,1.248925635008676,0.5943653062629173,N/A,21
22,1165,10.134763948497827,1691,4512,1.0348969152893008,0.9900720337913498,0.7287696047193041,1.2388746006057367,0.5971422753365248,Zombie Outbreak,1
23,3146,12.037221869040145,1981,0,1.033439749188775,0.992996470265865,0.7300688425242224,1.2420552053720726,0.5969284418943034,N/A,2
24,5292,10.743669690098296,3228,1082,1.0331992175764926,0.9979844450808841,0.731794967460994,1.2399971709940911,0.5960104453849094,N/A,3
25,7795,9.333816549069919,5308,2805,1.033535897338655,0.9997742071142032,0.7331730821267511,1.238118391377599,0.594935188898982,N/A,4
26,10389,8.566477363878452,7329,4735,1.0350309700210414,0.9990765716657612,0.7373594220853182,1.2373575725311097,0.5915640805521802,N/A,5
