Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,100,0.03333333333333333,0,0,1.0158668209291164,1.060146809698353,0.9936029431698625,1.1151770815427806,0.04136985482707784,0.038833151336798634,0.030195331439380454,0.055023353473514724,0.42823151630227496,N/A
2,128,9.401041666666641,28,0,1.030888741001953,1.0445709912040986,0.9879742971913078,1.09822975943049,0.042811499460183686,0.04051161082577224,0.029519708059666593,0.05176668862853509,0.4283093194710239,N/A
3,179,17.365735567970393,51,0,1.0307343718480262,1.051048965855121,0.9594127983165119,1.113998854789621,0.04129228310315627,0.04069497403215875,0.030112977974612147,0.05140189559930466,0.44413029832420114,N/A
4,163,18.657873210634136,55,71,1.0345708895342638,1.0286201760570068,0.9172345721876363,1.108484314130365,0.04279677060344061,0.04059228678262308,0.025085593184098278,0.04793202014596271,0.4610489655017517,N/A
5,168,19.39900793650817,52,47,1.040088168400068,1.0152532293160104,0.8628009505779572,1.1034622036601218,0.04460739021253675,0.03994462129054336,0.02029877439464594,0.04355838696952376,0.4881471366422331,N/A
6,154,17.62965367965387,56,70,1.0403772663198774,1.0170497484185186,0.8256533344681256,1.0771580313280096,0.044727668820890895,0.03835694403810291,0.015387548123812647,0.042902898823534534,0.5061987342158415,N/A
7,163,16.528425357873385,65,56,1.0548807241873304,1.029362166562096,0.8110813357727886,1.0831797431467767,0.04305558979845257,0.038356871978546016,0.01313646449007197,0.040860436493633384,0.5206913280163732,N/A
8,191,16.727050610820402,77,49,1.0638740482189304,1.0491116393529036,0.7987193959785549,1.0736211615190001,0.039912637455760916,0.03716856680549204,0.010642356122364314,0.04171179096219675,0.5319526674215372,N/A
9,221,15.447209653092157,95,65,1.0695981207354328,1.061359164242122,0.789503893684475,1.0722255703245536,0.04063075591342942,0.03425093278285829,0.00864498103752815,0.04550581709363013,0.5409612932755228,N/A
10,274,15.537834549878495,118,65,1.0777767732230632,1.0724898768114177,0.7807019409523724,1.0635638267073328,0.04164974985396246,0.035274232384959,0.007470321066960577,0.04852293807879168,0.5488787817147025,N/A
11,49,10.280952380952353,46,271,1.1083519623933955,1.049944665474571,0.7733596848096804,1.0570719755682108,0.035420706417090234,0.03932832450574414,0.008158022397538345,0.05171420171057878,0.5543550073947738,Pigeon Coup
12,98,14.276870748299453,49,0,1.1171201840268299,1.0669493894319009,0.7664406102707968,1.0468461607732162,0.03580139302740481,0.0398099104086579,0.0062138377359484435,0.046330278617943615,0.5620641166339743,N/A
