Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,100,0.033333333,0,0,1.015866821,1.06014681,0.993602943,1.115177082,0.041369855,0.038833151,0.030195331,0.055023353,0.428231516,N/A
2,128,9.401041667,28,0,1.030888741,1.044570991,0.987974297,1.098229759,0.042811499,0.040511611,0.029519708,0.051766689,0.428309319,N/A
3,179,17.36573557,51,0,1.030734372,1.051048966,0.959412798,1.113998855,0.041292283,0.040694974,0.030112978,0.051401896,0.444130298,N/A
4,163,18.65787321,55,71,1.03457089,1.028620176,0.917234572,1.108484314,0.042796771,0.040592287,0.025085593,0.04793202,0.461048966,N/A
5,168,19.39900794,52,47,1.040088168,1.015253229,0.862800951,1.103462204,0.04460739,0.039944621,0.020298774,0.043558387,0.488147137,N/A
6,154,17.62965368,56,70,1.040377266,1.017049748,0.825653334,1.077158031,0.044727669,0.038356944,0.015387548,0.042902899,0.506198734,N/A
7,163,16.52842536,65,56,1.054880724,1.029362167,0.811081336,1.083179743,0.04305559,0.038356872,0.013136464,0.040860436,0.520691328,N/A
8,191,16.72705061,77,49,1.063874048,1.049111639,0.798719396,1.073621162,0.039912637,0.037168567,0.010642356,0.041711791,0.531952667,N/A
9,221,15.44720965,95,65,1.069598121,1.061359164,0.789503894,1.07222557,0.040630756,0.034250933,0.008644981,0.045505817,0.540961293,N/A
10,274,15.53783455,118,65,1.077776773,1.072489877,0.780701941,1.063563827,0.04164975,0.035274232,0.007470321,0.048522938,0.548878782,N/A
11,49,10.28095238,46,271,1.108351962,1.049944665,0.773359685,1.057071976,0.035420706,0.039328325,0.008158022,0.051714202,0.554355007,Pigeon Coup
12,98,14.27687075,49,0,1.117120184,1.066949389,0.76644061,1.046846161,0.035801393,0.03980991,0.006213838,0.046330279,0.562064117,N/A
13,119,16.49635854,45,24,1.130265865,1.081931049,0.75640612,1.046544276,0.034496695,0.039431747,0.004601102,0.047603459,0.574425317,N/A
14,149,16.9,59,29,1.130548485,1.080940856,0.755550352,1.041028153,0.037656586,0.041107608,0.004802829,0.048697346,0.573977628,N/A
15,175,16.44,70,44,1.130943122,1.080886034,0.747284659,1.041252262,0.040043214,0.042477567,0.003760213,0.046121842,0.580426995,N/A
16,223,15.84992526,94,46,1.117541546,1.093915172,0.749139592,1.049782158,0.043443646,0.042835576,0.004474395,0.045921742,0.580441689,N/A
17,281,15.42087782,119,61,1.125844557,1.102099502,0.749655732,1.048918978,0.042870057,0.043328272,0.004530951,0.045996346,0.582820958,N/A
18,358,15.20139665,153,76,1.128941162,1.10848851,0.748775382,1.056371211,0.040219221,0.043473443,0.004034157,0.045199364,0.586522289,N/A
19,78,10.17521368,24,304,1.133015478,1.164000679,0.759305155,1.068286948,0.028314827,0.038229694,0.004839719,0.04408839,0.590944336,Fungus Takeover
20,134,15.15547264,56,0,1.123176285,1.154607213,0.757231953,1.066633185,0.030932262,0.037024304,0.004630098,0.046680307,0.588884585,N/A
21,155,15.23569892,66,45,1.126683187,1.145984483,0.758137113,1.075682168,0.028660277,0.03439963,0.005168106,0.053989418,0.588873223,N/A
22,196,15.62993197,82,41,1.118499903,1.154138295,0.760216235,1.061068384,0.030177715,0.035795994,0.005752865,0.056809245,0.584694447,N/A
23,260,15.59,119,55,1.113260416,1.141261769,0.762658505,1.062047883,0.030571965,0.037559879,0.005866253,0.059468216,0.579826147,N/A
24,322,14.9699793,137,75,1.118344697,1.141627556,0.767263064,1.068943107,0.030480198,0.038846506,0.00620565,0.059414169,0.578491788,N/A
25,415,14.97943775,179,86,1.111320455,1.137563961,0.764866241,1.068724599,0.032227101,0.039751953,0.006225444,0.05741381,0.578333628,N/A
26,537,15.01793917,232,110,1.116790498,1.136356826,0.760869872,1.070580788,0.032872017,0.039893064,0.005978957,0.056084412,0.582443548,N/A
27,120,11.67,39,456,1.105367257,1.150481523,0.757163584,1.10103867,0.035210493,0.036902394,0.004746243,0.055845644,0.591133809,Plague
28,218,16.38195719,98,0,1.110523623,1.150117564,0.75941307,1.106731875,0.03584778,0.038794187,0.005252056,0.055056811,0.591223792,N/A
29,265,14.83748428,121,74,1.119520843,1.131084596,0.758766728,1.093907742,0.036007868,0.042721277,0.005728201,0.058983938,0.587710392,N/A
30,351,15.41462488,154,68,1.125070045,1.122266097,0.758403318,1.080731016,0.035760922,0.045853147,0.006038219,0.057043772,0.585100668,N/A
31,458,14.89934498,205,98,1.133301149,1.116301816,0.75755938,1.062978643,0.034811977,0.046170766,0.005589837,0.05713768,0.583026967,N/A
32,599,14.76733445,269,128,1.139546276,1.107631003,0.754507712,1.059478121,0.03357914,0.047369416,0.004746507,0.059303866,0.584337813,N/A
33,801,14.9832293,355,153,1.138529859,1.0997393,0.756459378,1.058483019,0.034559483,0.04776025,0.005013274,0.059785481,0.581084682,N/A
34,1078,15.09969079,490,213,1.137704389,1.095123123,0.755628776,1.065274462,0.035094125,0.048158309,0.005045639,0.060805566,0.581961598,N/A
35,252,11.0228836,90,916,1.142303978,1.083105935,0.7541391,1.056212052,0.036174626,0.046734524,0.004802625,0.059058538,0.580197467,Typhoon
36,443,15.94853273,191,0,1.144752995,1.082811886,0.752387487,1.061123271,0.033750761,0.046295738,0.004473373,0.059058227,0.582800433,N/A
37,555,14.65855856,260,148,1.140391983,1.086714939,0.751481364,1.058525183,0.034013198,0.049855269,0.004662444,0.059606384,0.582960938,N/A
38,747,15.07010263,332,140,1.140260684,1.09639267,0.749596891,1.069706401,0.034062615,0.049356581,0.004571522,0.06143348,0.588113389,N/A
39,1028,14.85933852,489,208,1.140008879,1.098337572,0.753662653,1.082530923,0.034641692,0.049706228,0.005306243,0.063243157,0.587509077,N/A
40,1357,14.68710391,607,278,1.139430249,1.097287359,0.755190356,1.079411884,0.035588263,0.048575136,0.005605922,0.063103256,0.585482316,N/A
41,1816,14.77332966,814,355,1.138937155,1.096670943,0.755109463,1.078880936,0.036585847,0.048485087,0.005686142,0.063490561,0.585255374,N/A
42,2457,14.78677249,1117,476,1.141068632,1.102199858,0.75534775,1.077178084,0.037650758,0.048900251,0.005929852,0.062959841,0.586122365,N/A
